Id,PostId,VoteTypeId,CreationDate,UserId,BountyAmount
32167,7423,2,29/03/2016 0:00,,
32168,7396,2,29/03/2016 0:00,,
32169,7417,2,29/03/2016 0:00,,
32170,7177,2,29/03/2016 0:00,,
32171,2155,5,29/03/2016 0:00,10764,
32172,1208,5,29/03/2016 0:00,10764,
32173,7383,2,29/03/2016 0:00,,
32174,748,2,29/03/2016 0:00,,
32175,751,2,29/03/2016 0:00,,
32176,752,2,29/03/2016 0:00,,
32178,7430,3,29/03/2016 0:00,,
32179,7427,2,29/03/2016 0:00,,
32180,7419,2,29/03/2016 0:00,,
32181,1267,3,29/03/2016 0:00,,
32182,7331,2,29/03/2016 0:00,,
32183,7420,2,30/03/2016 0:00,,
32184,7177,2,30/03/2016 0:00,,
32185,7426,2,30/03/2016 0:00,,
32186,7378,2,30/03/2016 0:00,,
32187,7377,5,30/03/2016 0:00,4220,
32188,7377,2,30/03/2016 0:00,,
32189,7298,2,30/03/2016 0:00,,
32190,7277,2,30/03/2016 0:00,,
32191,1282,5,30/03/2016 0:00,10788,
32192,7315,2,30/03/2016 0:00,,
32193,7311,2,30/03/2016 0:00,,
32194,7312,2,30/03/2016 0:00,,
32195,7309,2,30/03/2016 0:00,,
32196,562,2,30/03/2016 0:00,,
32199,1554,2,30/03/2016 0:00,,
32200,7431,2,30/03/2016 0:00,,
32201,7420,2,30/03/2016 0:00,,
32202,7423,2,30/03/2016 0:00,,
32203,5402,2,30/03/2016 0:00,,
32204,5317,2,30/03/2016 0:00,,
32205,7423,2,30/03/2016 0:00,,
32206,199,5,30/03/2016 0:00,10794,
32207,7386,5,31/03/2016 0:00,284,
32208,7386,2,31/03/2016 0:00,,
32209,365,2,31/03/2016 0:00,,
32210,1210,2,31/03/2016 0:00,,
32211,273,2,31/03/2016 0:00,,
32212,7433,5,31/03/2016 0:00,3856,
32213,7432,2,31/03/2016 0:00,,
32214,7418,2,31/03/2016 0:00,,
32215,7419,2,31/03/2016 0:00,,
32216,7409,2,31/03/2016 0:00,,
32217,6225,2,31/03/2016 0:00,,
