Id,PostId,VoteTypeId,CreationDate,UserId
6663,1509,2,1392163200,
6664,1531,2,1392163200,
6665,1513,2,1392163200,
6666,1535,2,1392163200,
6669,269,5,1392163200,1965
6670,1529,1,1392249600,
6671,1535,16,1392249600,
6672,1534,2,1392249600,
6673,477,2,1392249600,
6674,477,5,1392249600,1971
6676,1529,2,1392249600,
6677,1540,2,1392249600,
6678,1538,2,1392336000,
6679,1543,2,1392336000,
6680,1535,1,1392336000,
6681,1543,1,1392336000,
6682,1528,2,1392336000,
6683,1539,2,1392336000,
6684,1540,2,1392336000,
6685,1518,2,1392336000,
6686,1542,2,1392336000,
6687,1537,2,1392336000,
6688,1482,2,1392336000,
6689,1527,2,1392336000,
6690,1524,2,1392336000,
6691,1540,2,1392336000,
6692,1539,2,1392336000,
6693,1489,2,1392336000,
6694,1491,2,1392336000,
6695,1489,2,1392336000,
6696,1489,5,1392336000,958
6697,1259,2,1392422400,
6698,1256,2,1392422400,
6699,365,2,1392422400,
6700,365,5,1392422400,582
6701,1544,2,1392422400,
6702,1545,2,1392422400,
6703,519,2,1392422400,
6704,1517,2,1392422400,
6705,518,2,1392422400,
6707,274,2,1392508800,
6708,269,5,1392508800,1990
6709,1546,2,1392595200,
6710,1546,2,1392595200,
6711,1547,2,1392595200,
6712,1547,2,1392595200,
6713,1438,2,1392595200,
6714,1439,2,1392595200,
6715,1544,2,1392595200,
6716,1547,2,1392595200,
6717,1446,2,1392595200,
6718,269,2,1392595200,
6719,274,2,1392595200,
6720,1547,2,1392681600,
6721,1551,3,1392681600,
6722,1546,2,1392681600,
6723,1545,2,1392681600,
6724,1546,2,1392681600,
6725,1547,2,1392681600,
6726,1550,2,1392681600,
6727,1551,15,1392681600,
6728,1551,2,1392681600,
6729,1548,2,1392681600,
6730,1547,2,1392681600,
6731,1552,2,1392681600,
6732,266,5,1392768000,2003
6733,1548,2,1392768000,
6734,1552,2,1392768000,
6735,1545,2,1392768000,
6736,381,2,1392768000,
6737,381,5,1392768000,90
6738,640,2,1392768000,
6739,640,5,1392768000,90
6740,1556,2,1392768000,
6741,1553,2,1392768000,
6742,450,16,1392768000,
6743,1528,2,1392768000,
6744,1528,5,1392768000,90
6745,1558,2,1392768000,
6746,1548,2,1392768000,
6747,562,2,1392768000,
6748,1559,2,1392768000,
6749,477,2,1392768000,
6750,1556,2,1392768000,
